,day_number,weekday,daily_light_mean,daily_steps,quarter,user_id
13,14,2,8.793843,3105,1,d4d2f272
14,15,3,5.183293,1077,1,d4d2f272
15,16,4,14.58248,2024,1,d4d2f272
16,17,5,0.61373794,0,1,d4d2f272
17,18,6,0.8690731,548,1,d4d2f272
18,19,7,0.5,0,1,d4d2f272
19,20,1,0.5,17,1,d4d2f272
20,21,2,0.5,196,1,d4d2f272
21,22,3,0.5,24,1,d4d2f272
22,23,4,0.5,0,1,d4d2f272
23,25,6,0.5,440,1,d4d2f272
0,1,3,12.779459,1148,1,a0522c83
1,2,4,17.822752,5033,1,a0522c83
2,3,5,11.733055,1058,1,a0522c83
3,4,6,8.45595,1621,1,a0522c83
4,5,7,13.808198,2856,1,a0522c83
5,6,1,27.98364,1631,1,a0522c83
6,7,2,55.264545,2679,1,a0522c83
7,8,3,20.95966,835,1,a0522c83
8,9,4,29.013155,850,1,a0522c83
9,10,5,69.828835,1669,1,a0522c83
10,11,6,3.2956498,1060,1,a0522c83
11,12,7,19.702148,3637,1,a0522c83
12,13,1,19.55081,2677,1,a0522c83
13,14,2,55.5985,2958,1,a0522c83
14,15,3,32.584236,3409,1,a0522c83
15,16,4,4.444467,2828,1,a0522c83
16,17,5,8.082166,1879,1,a0522c83
17,18,6,40.849373,619,1,a0522c83
18,19,7,15.517193,637,1,a0522c83
19,20,1,14.316823,3532,1,a0522c83
20,21,2,8.115479,2906,1,a0522c83
21,22,3,8.231914,2875,1,a0522c83
22,23,4,7.5034666,3275,1,a0522c83
23,24,5,12.221612,1825,1,a0522c83
0,1,2,6.100888,4461,1,b447e66d
1,2,3,12.84606,6734,1,b447e66d
2,3,4,13.029007,6099,1,b447e66d
3,4,5,3.321097,1742,1,b447e66d
4,5,6,4.9760537,4132,1,b447e66d
5,6,7,5.763923,5425,1,b447e66d
6,7,1,9.211192,5658,1,b447e66d
7,8,2,17.268305,6317,1,b447e66d
8,9,3,10.818963,5937,1,b447e66d
9,10,4,27.866945,5622,1,b447e66d
10,11,5,16.91368,5622,1,b447e66d
11,12,6,12.3512745,6246,1,b447e66d
12,13,7,22.557055,4988,1,b447e66d
13,14,1,9.5439,5248,1,b447e66d
14,15,2,11.170338,6358,1,b447e66d
15,16,3,8.301859,6173,1,b447e66d
16,17,4,23.330702,7246,1,b447e66d
17,18,5,17.257957,5848,1,b447e66d
18,19,6,6.060135,4755,1,b447e66d
19,20,7,10.387636,6008,1,b447e66d
20,21,1,14.428507,5493,1,b447e66d
21,22,2,13.178349,6748,1,b447e66d
22,23,3,9.138161,6162,1,b447e66d
23,24,4,2.0,7,1,b447e66d
0,1,2,9.603627,2228,4,cd68643b
1,2,3,5.6161356,5665,4,cd68643b
2,3,4,5.9200573,5055,4,cd68643b
3,4,5,6.2937536,4332,4,cd68643b
4,5,6,4.2093625,3874,4,cd68643b
5,6,7,4.469119,3756,4,cd68643b
6,7,1,3.9089043,5164,4,cd68643b
7,8,2,6.031001,5026,4,cd68643b
8,9,3,5.7870884,3330,4,cd68643b
9,10,4,19.086044,4776,4,cd68643b
10,11,5,25.548523,4502,4,cd68643b
11,12,6,5.021942,2858,4,cd68643b
12,13,7,3.6468806,3935,4,cd68643b
13,14,1,52.924324,5289,4,cd68643b
14,15,2,4.209432,4769,4,cd68643b
15,16,3,3.3361402,4266,4,cd68643b
16,17,4,2.35546,3740,4,cd68643b
17,18,5,2.771818,4008,4,cd68643b
18,19,6,5.674881,3139,4,cd68643b
19,20,7,10.4924755,3619,4,cd68643b
20,21,1,5.537907,5831,4,cd68643b
21,22,2,5.3037386,5634,4,cd68643b
22,23,3,8.389643,4614,4,cd68643b
23,24,4,3.1281836,84,4,cd68643b
0,1,5,23.163507,1189,1,fc2c2c08
1,2,6,122.872406,1617,1,fc2c2c08
2,3,7,16.809263,1643,1,fc2c2c08
3,4,1,9.045746,3378,1,fc2c2c08
4,5,2,35.93335,4057,1,fc2c2c08
5,6,3,31.481848,6278,1,fc2c2c08
6,7,4,15.715414,6321,1,fc2c2c08
7,8,5,19.798653,5955,1,fc2c2c08
8,9,6,11.289848,1930,1,fc2c2c08
9,10,7,12.090408,3721,1,fc2c2c08
10,11,1,34.405388,5005,1,fc2c2c08
11,12,2,3.9608722,0,1,fc2c2c08
12,13,3,8.650854,16,1,fc2c2c08
13,14,4,26.344292,3,1,fc2c2c08
14,15,5,16.21972,1736,1,fc2c2c08
15,16,6,19.285563,2462,1,fc2c2c08
16,17,7,15.996843,3457,1,fc2c2c08
17,18,1,32.75657,4040,1,fc2c2c08
18,19,2,14.259652,879,1,fc2c2c08
19,20,3,6.3652754,1327,1,fc2c2c08
20,21,4,13.263097,1192,1,fc2c2c08
21,22,5,19.140417,0,1,fc2c2c08
22,23,6,0.8259418,0,1,fc2c2c08
23,24,7,81.62765,2345,2,fc2c2c08
24,25,1,116.01605,5031,2,fc2c2c08
0,1,3,39.777576,1924,2,a402c6c8
1,2,4,90.66275,7070,2,a402c6c8
2,3,5,81.900345,6880,2,a402c6c8
3,4,6,196.68637,9193,2,a402c6c8
4,5,7,22.419895,4568,2,a402c6c8
5,6,1,21.549517,6267,2,a402c6c8
6,7,2,59.880196,10140,2,a402c6c8
7,8,3,111.41882,6773,2,a402c6c8
8,9,4,13.424322,5059,2,a402c6c8
9,10,5,40.782402,6364,2,a402c6c8
10,11,6,158.58235,8239,2,a402c6c8
11,12,7,144.41513,7644,2,a402c6c8
12,13,1,25.53626,7853,2,a402c6c8
13,14,2,52.9127,5482,2,a402c6c8
14,15,3,33.04114,3843,2,a402c6c8
15,16,4,79.4221,7179,2,a402c6c8
16,17,5,53.56047,7224,2,a402c6c8
17,18,6,127.03448,7785,2,a402c6c8
18,19,7,42.21656,5520,2,a402c6c8
19,20,1,95.45944,7003,2,a402c6c8
20,21,2,29.988884,8809,2,a402c6c8
21,22,3,133.43153,8213,2,a402c6c8
22,23,4,9.328563,5611,2,a402c6c8
23,24,5,6.762568,299,2,a402c6c8
24,25,6,0.0,0,2,a402c6c8
0,1,3,213.80864,3465,2,ab16a20d
1,2,4,637.07025,4779,2,ab16a20d
2,3,5,466.05533,7142,2,ab16a20d
3,4,6,123.524796,6681,2,ab16a20d
4,5,7,43.532654,1494,2,ab16a20d
5,6,1,17.24558,51,2,ab16a20d
6,7,2,392.08148,5382,2,ab16a20d
7,8,3,307.32895,5756,2,ab16a20d
8,9,4,361.80518,5289,2,ab16a20d
9,10,5,46.63258,4638,2,ab16a20d
10,11,6,23.05118,3936,2,ab16a20d
11,12,7,2.0547895,142,2,ab16a20d
12,13,1,0.4042311,0,2,ab16a20d
13,18,6,4.384937,0,2,ab16a20d
14,19,7,4.6634135,0,3,ab16a20d
15,20,1,10.781508,1693,3,ab16a20d
16,21,2,39.302723,0,3,ab16a20d
17,22,3,23.776665,0,3,ab16a20d
18,23,4,8.044057,0,3,ab16a20d
0,1,4,23.138674,1015,4,fa34f945
1,2,5,3.260395,953,4,fa34f945
2,3,6,3.4595628,1,4,fa34f945
3,6,2,5.391625,0,4,fa34f945
4,7,3,6.671586,0,4,fa34f945
5,8,4,7.574254,0,4,fa34f945
6,9,5,4.295386,295,1,fa34f945
7,10,6,12.559523,0,1,fa34f945
8,11,7,23.578718,645,1,fa34f945
9,12,1,2.1637394,675,1,fa34f945
10,13,2,11.636711,963,1,fa34f945
11,14,3,10.788443,804,1,fa34f945
12,15,4,3.2230875,1642,1,fa34f945
13,16,5,12.928946,93,1,fa34f945
14,17,6,0.68630505,290,1,fa34f945
15,18,7,0.3227509,0,1,fa34f945
16,19,1,8.751274,756,1,fa34f945
17,20,2,4.785653,658,1,fa34f945
18,21,3,4.8115225,177,1,fa34f945
19,22,4,7.699627,1102,1,fa34f945
20,23,5,12.0,2,1,fa34f945
21,24,6,12.0,0,1,fa34f945
0,1,4,6.0273733,1887,1,c9600298
1,2,5,13.12308,4713,1,c9600298
2,3,6,3.7831593,3539,1,c9600298
3,4,7,9.688451,3614,1,c9600298
4,5,1,6.8067007,4517,1,c9600298
5,6,2,7.0659714,4061,1,c9600298
6,7,3,4.189424,4137,1,c9600298
7,8,4,5.151136,2174,1,c9600298
8,9,5,5.687126,2151,1,c9600298
9,10,6,10.1125965,2616,1,c9600298
10,11,7,142.20032,4642,1,c9600298
11,12,1,24.00878,3024,1,c9600298
12,13,2,90.55159,4560,1,c9600298
13,14,3,176.46028,4767,1,c9600298
14,15,4,8.976913,2889,1,c9600298
15,16,5,7.335416,2583,1,c9600298
16,17,6,7.1099453,2516,1,c9600298
17,18,7,5.843487,1794,1,c9600298
18,19,1,12.581977,4903,1,c9600298
19,20,2,11.80649,4879,1,c9600298
20,21,3,9.882262,5419,1,c9600298
21,22,4,10.186175,5252,1,c9600298
22,23,5,7.3587666,1524,1,c9600298
0,1,4,8.333141,1892,4,91656d27
1,2,5,8.731367,838,4,91656d27
2,3,6,17.729357,613,4,91656d27
3,4,7,8.470102,285,4,91656d27
4,5,1,26.110016,0,4,91656d27
5,6,2,9.492092,1600,4,91656d27
6,7,3,9.665338,626,4,91656d27
7,8,4,14.48229,114,4,91656d27
8,9,5,10.450708,0,4,91656d27
9,10,7,12.666444,95,4,91656d27
10,11,1,10.565355,123,4,91656d27
11,12,2,0.028734026,0,4,91656d27
12,13,3,0.042891,1,4,91656d27
13,14,4,0.066380545,0,4,91656d27
14,15,5,0.0799469,0,4,91656d27
15,16,7,0.124625385,0,4,91656d27
16,17,1,0.14468795,0,4,91656d27
17,18,2,0.15962388,0,4,91656d27
18,19,3,0.17168376,0,4,91656d27
19,20,4,0.19807506,0,4,91656d27
20,21,5,0.21721095,0,4,91656d27
21,22,6,0.23505864,0,4,91656d27
22,23,7,0.25707468,0,4,91656d27
23,24,1,0.2742119,0,4,91656d27
24,25,2,0.2892802,0,4,91656d27
25,26,3,0.31339213,0,4,91656d27
26,27,4,0.33325392,0,4,91656d27
27,28,5,0.3493915,0,4,91656d27
28,29,6,0.3547441,0,4,91656d27
29,30,7,0.39095905,0,4,91656d27
30,31,1,0.40442428,0,4,91656d27
31,32,2,0.42566162,0,4,91656d27
32,33,3,0.44383273,0,4,91656d27
33,34,5,0.48374432,0,4,91656d27
34,35,6,0.9626041,46,4,91656d27
35,36,7,10.250174,0,4,91656d27
36,37,2,21.737131,63,4,91656d27
0,1,5,126.38529,3914,3,e46417a7
1,2,6,19.707056,5100,3,e46417a7
2,3,7,219.70508,614,3,e46417a7
3,4,1,21.006414,2294,3,e46417a7
4,5,2,17.265574,6428,3,e46417a7
5,6,3,49.278866,7113,3,e46417a7
6,7,4,33.870667,6649,3,e46417a7
7,8,5,33.115078,6159,3,e46417a7
8,9,6,279.48743,3232,3,e46417a7
9,10,7,40.398453,1382,3,e46417a7
10,11,1,17.939163,6462,3,e46417a7
11,12,2,43.001408,6307,3,e46417a7
12,13,3,54.662914,5920,3,e46417a7
13,14,4,4.967709,558,3,e46417a7
14,15,5,92.96419,9600,3,e46417a7
15,16,6,14.453104,3843,3,e46417a7
16,17,7,357.71887,9707,3,e46417a7
17,18,1,62.756023,5429,3,e46417a7
18,19,2,51.560574,4497,3,e46417a7
19,20,4,0.48946103,1,3,e46417a7
20,21,5,8.678302,3069,3,e46417a7
21,22,6,14.236199,69,3,e46417a7
22,23,7,335.96964,4492,3,e46417a7
23,24,1,68.845345,4306,3,e46417a7
24,25,2,15.607173,3464,3,e46417a7
25,26,3,48.890263,4554,3,e46417a7
26,27,4,28.224798,6048,3,e46417a7
27,28,5,14.2006,5678,3,e46417a7
28,29,6,27.304432,3232,3,e46417a7
29,30,7,18.001059,0,3,e46417a7
30,31,1,19.8177,81,3,e46417a7
31,32,2,22.3788,9,3,e46417a7
32,33,3,25.091496,1,3,e46417a7
33,34,4,27.914055,0,3,e46417a7
34,35,5,30.387417,0,3,e46417a7
35,36,6,32.612537,5,3,e46417a7
36,37,7,34.944984,2,3,e46417a7
37,38,1,37.87659,5,3,e46417a7
38,39,2,41.31994,2,3,e46417a7
39,40,3,45.489452,0,3,e46417a7
40,41,5,51.555004,0,3,e46417a7
41,42,6,52.85952,0,3,e46417a7
42,43,7,55.753048,0,3,e46417a7
43,44,1,57.35432,0,3,e46417a7
44,45,2,57.407196,16,3,e46417a7
45,46,3,56.458412,313,3,e46417a7
46,47,4,159.16577,17,3,e46417a7
47,48,5,312.73315,9,3,e46417a7
48,49,6,136.38077,154,3,e46417a7
49,50,7,0.054032058,12,3,e46417a7
50,51,1,0.108304515,6,4,e46417a7
51,52,2,0.13898408,616,4,e46417a7
52,53,3,0.19119538,323,4,e46417a7
53,54,4,0.23259537,350,4,e46417a7
54,55,5,0.27287987,465,4,e46417a7
55,56,6,0.32333502,10,4,e46417a7
56,57,7,0.39918512,0,4,e46417a7
57,58,1,0.41863525,615,4,e46417a7
58,59,2,0.4613061,632,4,e46417a7
59,60,3,2.4779007,123,4,e46417a7
60,61,4,5.4787793,357,4,e46417a7
61,62,5,10.895174,13,4,e46417a7
62,63,6,19.997065,20,4,e46417a7
63,64,7,24.117517,20,4,e46417a7
64,65,1,31.84646,46,4,e46417a7
65,66,2,25.81364,33,4,e46417a7
66,67,3,15.283838,2,4,e46417a7
0,1,3,61.729687,622,3,d3da09e8
1,2,4,187.9634,2545,3,d3da09e8
2,3,5,389.8827,4058,3,d3da09e8
3,4,6,515.8753,5523,3,d3da09e8
4,5,7,350.51996,2140,3,d3da09e8
5,6,1,148.48503,2303,3,d3da09e8
6,7,2,3.8809974,1676,3,d3da09e8
7,8,3,559.5095,2862,3,d3da09e8
8,9,4,14.458291,888,3,d3da09e8
9,10,5,899.0904,4425,3,d3da09e8
10,11,6,364.46152,1385,3,d3da09e8
11,12,7,14.012354,222,3,d3da09e8
12,13,1,70.196556,1256,3,d3da09e8
13,14,2,30.866577,1597,3,d3da09e8
14,15,3,266.1261,3404,3,d3da09e8
15,16,4,15.054117,858,3,d3da09e8
16,17,5,61.447433,3381,3,d3da09e8
17,18,6,263.1781,3502,3,d3da09e8
18,19,7,98.32879,1737,3,d3da09e8
19,20,1,6.618511,935,3,d3da09e8
20,21,2,6.748486,1072,3,d3da09e8
21,22,3,4.9431396,79,3,d3da09e8
22,23,4,1230.5939,4996,3,d3da09e8
23,24,5,412.4048,3415,3,d3da09e8
24,25,6,528.18805,2376,3,d3da09e8
25,26,7,741.70447,2022,3,d3da09e8
26,27,1,13.615517,105,3,d3da09e8
27,28,2,847.5297,5937,3,d3da09e8
28,29,3,9.589989,1466,3,d3da09e8
29,30,4,113.50873,2,3,d3da09e8
30,31,5,57.991283,46,3,d3da09e8
31,32,1,51.0,0,3,d3da09e8
32,33,2,51.0,0,3,d3da09e8
33,34,3,51.0,2,3,d3da09e8
0,1,5,15.852818,2058,1,fa633e39
1,2,6,96.04555,5121,1,fa633e39
2,3,7,0.898912,0,1,fa633e39
3,4,1,4.418487,667,1,fa633e39
4,5,2,2.3528376,0,1,fa633e39
5,6,3,3.5390918,12,1,fa633e39
6,7,4,4.381395,238,1,fa633e39
7,8,5,1.9473861,300,1,fa633e39
8,9,6,5.3447857,333,1,fa633e39
9,10,7,5.519131,242,1,fa633e39
10,11,1,24.484488,614,1,fa633e39
11,12,2,14.996857,13,1,fa633e39
12,13,3,10.940485,5,1,fa633e39
13,14,4,6.5544877,257,1,fa633e39
14,15,5,40.20422,324,1,fa633e39
15,16,6,111.389694,417,1,fa633e39
16,18,1,3.9896042,59,1,fa633e39
0,1,4,22.458675,2077,1,c3d46daf
1,2,5,25.247929,3561,1,c3d46daf
2,3,6,12.618864,992,1,c3d46daf
3,4,7,8.50097,489,1,c3d46daf
4,5,1,13.74456,2157,1,c3d46daf
5,6,2,7.385859,2329,1,c3d46daf
6,7,3,12.081707,1723,1,c3d46daf
7,8,4,3.6715558,3,1,c3d46daf
8,9,5,18.579262,1371,1,c3d46daf
9,10,6,12.412119,492,1,c3d46daf
10,11,7,5.9024353,0,1,c3d46daf
11,12,1,81.46549,1668,1,c3d46daf
12,13,2,17.213923,1514,1,c3d46daf
13,14,3,16.694983,1299,1,c3d46daf
14,15,4,23.015163,0,1,c3d46daf
15,16,5,8.920658,3785,1,c3d46daf
16,17,6,0.5608708,407,1,c3d46daf
17,21,3,0.88357586,0,1,c3d46daf
18,22,4,0.94741225,0,1,c3d46daf
19,23,5,0.85385203,0,1,c3d46daf
20,24,6,1.9534594,0,1,c3d46daf
21,25,7,2.0,1,1,c3d46daf
0,1,5,23.887344,1498,1,d8037389
1,2,6,58.209003,2542,1,d8037389
2,3,7,34.415638,2338,1,d8037389
3,4,1,47.625656,1302,1,d8037389
4,5,2,29.978642,2635,1,d8037389
5,6,3,18.850815,1935,1,d8037389
6,7,4,48.797703,3025,1,d8037389
7,8,5,29.006287,2274,1,d8037389
8,9,6,354.08157,1585,1,d8037389
9,10,7,5.773298,0,1,d8037389
10,11,1,215.75314,785,1,d8037389
11,12,2,94.870186,2199,1,d8037389
12,13,3,79.43843,720,1,d8037389
13,14,4,13.902015,624,2,d8037389
14,15,5,36.21341,0,2,d8037389
15,16,6,45.203323,1646,2,d8037389
16,17,7,7.9724784,0,2,d8037389
17,18,1,5.787277,0,2,d8037389
18,19,2,6.0,0,2,d8037389
19,20,3,6.0,0,2,d8037389
0,1,1,11.820869,1394,4,6a4df6ff
1,2,2,47.793854,3941,4,6a4df6ff
2,3,3,107.11658,4141,4,6a4df6ff
3,4,4,8.119969,122,4,6a4df6ff
4,5,5,11.833333,0,4,6a4df6ff
5,6,6,0.8111917,0,4,6a4df6ff
6,7,7,16.16746,0,4,6a4df6ff
7,8,1,1.6082938,0,4,6a4df6ff
8,9,3,1.2503208,0,4,6a4df6ff
9,10,4,1.092111,0,4,6a4df6ff
10,11,6,0.7907141,0,4,6a4df6ff
11,12,5,0.76249343,0,4,6a4df6ff
12,13,7,1.0,0,4,6a4df6ff
13,14,2,0.5762991,0,4,6a4df6ff
14,15,3,1.6322415,0,4,6a4df6ff
15,16,4,2.026209,1,4,6a4df6ff
16,17,7,1.0216572,0,4,6a4df6ff
17,18,1,0.8556945,0,4,6a4df6ff
18,19,2,0.7093424,0,4,6a4df6ff
19,20,3,0.601046,0,4,6a4df6ff
20,21,4,0.37398246,0,4,6a4df6ff
21,22,6,0.7818864,0,4,6a4df6ff
22,23,7,0.79165626,0,4,6a4df6ff
23,24,3,9.040235,0,4,6a4df6ff
24,25,4,7.2617536,4,4,6a4df6ff
25,26,6,18.377663,0,4,6a4df6ff
26,27,1,26.364588,1,4,6a4df6ff
27,28,4,40.19629,0,4,6a4df6ff
28,29,6,49.77021,0,4,6a4df6ff
29,30,7,54.00662,0,4,6a4df6ff
30,31,1,59.384975,0,4,6a4df6ff
31,32,2,63.111286,0,4,6a4df6ff
32,33,4,72.88754,0,4,6a4df6ff
33,34,1,91.62339,0,4,6a4df6ff
34,35,4,105.54935,0,4,6a4df6ff
35,36,7,120.13928,57,4,6a4df6ff
36,37,1,124.66975,0,4,6a4df6ff
37,38,2,30.531044,151,4,6a4df6ff
38,39,3,22.576988,186,4,6a4df6ff
39,40,4,16.141151,148,4,6a4df6ff
0,1,3,32.17794,2185,4,cb2752bc
1,2,4,16.14101,3230,4,cb2752bc
2,3,5,24.723564,3576,4,cb2752bc
3,4,6,11.213541,2897,4,cb2752bc
4,5,7,4.270122,37,4,cb2752bc
5,6,1,23.710104,4067,4,cb2752bc
6,7,2,18.938604,4157,4,cb2752bc
7,8,3,45.49234,4332,4,cb2752bc
8,9,4,8.926723,495,4,cb2752bc
9,11,6,6.0950193,499,4,cb2752bc
10,12,7,18.556576,2604,4,cb2752bc
11,13,1,0.311939,0,4,cb2752bc
12,14,2,1.004365,0,4,cb2752bc
13,15,3,24.497282,3522,4,cb2752bc
14,16,4,19.168154,3606,4,cb2752bc
15,17,5,40.00278,2675,4,cb2752bc
16,18,6,43.686577,5474,4,cb2752bc
17,19,7,17.7918,2481,4,cb2752bc
18,20,1,27.415771,2954,4,cb2752bc
19,21,2,9.07765,3947,4,cb2752bc
20,22,3,28.062637,2745,4,cb2752bc
21,23,4,17.812706,3449,4,cb2752bc
22,24,5,0.60722727,168,4,cb2752bc
0,1,2,12.412279,1982,1,a3bd8858
1,2,3,4.849066,805,1,a3bd8858
2,3,4,4.458177,202,1,a3bd8858
3,4,5,1.7186166,0,1,a3bd8858
4,5,6,3.5192108,0,1,a3bd8858
5,6,7,4.0137396,0,1,a3bd8858
6,8,2,6.413233,0,1,a3bd8858
7,9,3,12.229801,1714,1,a3bd8858
8,10,4,5.0124536,1,1,a3bd8858
9,11,5,9.304707,9,1,a3bd8858
10,12,6,17.603033,1,1,a3bd8858
11,13,7,18.0,0,1,a3bd8858
12,14,1,18.0,0,1,a3bd8858
13,15,2,18.0,1,1,a3bd8858
14,16,3,18.0,0,1,a3bd8858
15,17,4,18.0,0,1,a3bd8858
16,19,6,18.0,0,1,a3bd8858
17,20,7,18.0,0,1,a3bd8858
18,21,1,18.0,0,1,a3bd8858
19,22,2,18.0,0,1,a3bd8858
0,1,3,245.82233,4710,2,e1ccc3d1
